exam_year,exam_type,phase,institute_code,college_name,branch_code,branch_name,category,gender,opening_rank,closing_rank,location,district,college_type,affiliated_to
2025,TS_EAMCET,FINAL,AARM,AAR MAHAVEER ENGINEERING COLLEGE,MEC,MECHANICAL ENGINEERING,BC_E,BOYS,102892,102892,BANDLAGUDA,HYD,PVT,JNTUH
2025,TS_EAMCET,FINAL,AARM,AAR MAHAVEER ENGINEERING COLLEGE,MEC,MECHANICAL ENGINEERING,BC_E,GIRLS,102892,102892,BANDLAGUDA,HYD,PVT,JNTUH
2025,TS_EAMCET,FINAL,AARM,AAR MAHAVEER ENGINEERING COLLEGE,MEC,MECHANICAL ENGINEERING,SC_I,BOYS,102892,102892,BANDLAGUDA,HYD,PVT,JNTUH
2025,TS_EAMCET,FINAL,AARM,AAR MAHAVEER ENGINEERING COLLEGE,MEC,MECHANICAL ENGINEERING,SC_I,GIRLS,102892,102892,BANDLAGUDA,HYD,PVT,JNTUH
2025,TS_EAMCET,FINAL,AARM,AAR MAHAVEER ENGINEERING COLLEGE,MEC,MECHANICAL ENGINEERING,SC_II,BOYS,141670,141670,BANDLAGUDA,HYD,PVT,JNTUH
2025,TS_EAMCET,FINAL,AARM,AAR MAHAVEER ENGINEERING COLLEGE,MEC,MECHANICAL ENGINEERING,SC_II,GIRLS,141670,141670,BANDLAGUDA,HYD,PVT,JNTUH
2025,TS_EAMCET,FINAL,AARM,AAR MAHAVEER ENGINEERING COLLEGE,MEC,MECHANICAL ENGINEERING,SC_III,BOYS,102892,102892,BANDLAGUDA,HYD,PVT,JNTUH
2025,TS_EAMCET,FINAL,AARM,AAR MAHAVEER ENGINEERING COLLEGE,MEC,MECHANICAL ENGINEERING,SC_III,GIRLS,102892,102892,BANDLAGUDA,HYD,PVT,JNTUH
2025,TS_EAMCET,FINAL,AARM,AAR MAHAVEER ENGINEERING COLLEGE,MEC,MECHANICAL ENGINEERING,ST,BOYS,151058,151058,BANDLAGUDA,HYD,PVT,JNTUH
2025,TS_EAMCET,FINAL,AARM,AAR MAHAVEER ENGINEERING COLLEGE,MEC,MECHANICAL ENGINEERING,ST,GIRLS,151058,151058,BANDLAGUDA,HYD,PVT,JNTUH
2025,TS_EAMCET,FINAL,AARM,AAR MAHAVEER ENGINEERING COLLEGE,MEC,MECHANICAL ENGINEERING,EWS,BOYS,102892,102892,BANDLAGUDA,HYD,PVT,JNTUH
2025,TS_EAMCET,FINAL,AARM,AAR MAHAVEER ENGINEERING COLLEGE,MEC,MECHANICAL ENGINEERING,EWS,GIRLS,102892,102892,BANDLAGUDA,HYD,PVT,JNTUH
2025,TS_EAMCET,FINAL,ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),CIV,CIVIL ENGINEERING,OC,BOYS,58226,58226,GHATKESAR,MDL,PVT,JNTUH
2025,TS_EAMCET,FINAL,ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),CIV,CIVIL ENGINEERING,OC,GIRLS,58226,58226,GHATKESAR,MDL,PVT,JNTUH
2025,TS_EAMCET,FINAL,ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),CIV,CIVIL ENGINEERING,BC_A,BOYS,118512,118512,GHATKESAR,MDL,PVT,JNTUH
2025,TS_EAMCET,FINAL,ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),CIV,CIVIL ENGINEERING,BC_A,GIRLS,120181,120181,GHATKESAR,MDL,PVT,JNTUH
2025,TS_EAMCET,FINAL,ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),CIV,CIVIL ENGINEERING,BC_B,BOYS,115903,115903,GHATKESAR,MDL,PVT,JNTUH
2025,TS_EAMCET,FINAL,ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),CIV,CIVIL ENGINEERING,BC_B,GIRLS,115903,115903,GHATKESAR,MDL,PVT,JNTUH
2025,TS_EAMCET,FINAL,ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),CIV,CIVIL ENGINEERING,BC_C,BOYS,58226,58226,GHATKESAR,MDL,PVT,JNTUH
